Unnamed: 0,B1_021_F01,G4_01111_F01,G4_01112_F01,G4_01113_F01,G4_01114_F01,G4_01115_F01,G4_01111_F01.1,G4_01112CZ5_0_F01,G4_01123_F01,G4_01124_F01,G4_01125_F01,G4_01126_F01,G4_01127_F01,G4_01129_F01,G4_01130_F01,G4_01131_F01,G4_01132_F01,G4_01133_F01,G4_01134_F01,E01MVD01_MB03,E01MVD01_MB04,E01MVD01_MB05,E01MVD01_MB06,E02MVD03_MB01,E02MVD03_MB02,E02MVD03_MB03,E02MVD03_MB04,E02MVD03_MB05,E02MVD03_MB06,E02MVD03_MB07,G4_000_P04,G4_000_P05,G4_000_P06,G3_00902_P01,G4_000_P01,G3_00917_T01,G5_039_T01,G5_038_T01,G4_01112_13_TIC_SP,G4_01112_13_TIC_PV,G4_01114_15_TIC_SP,G4_01114_15_TIC_PV,G4_01105_06_TIC_SP,G4_01105_06_TIC_PV,G4_01107_08_TIC_SP,G4_01107_08_TIC_PV,G4_01109_10_TIC_SP,G4_01109_10_TIC_PV,G4_01111_12_TIC_SP,G4_01111_12_TIC_PV,G4_01113_14_TIC_SP,G4_01113_14_TIC_PV,G4_01115_16_TIC_SP,G4_01115_16_TIC_PV,G4_01117_18_TIC_SP,G4_01117_18_TIC_PV,G4_01119_20_TIC_SP,G4_01119_20_TIC_PV,G4_01121_22_TIC_SP,G4_01121_22_TIC_PV,G4_01123_TIC_SP,G4_01123_TIC_PV,G4_01124_TIC_SP,G4_01124_TIC_PV,G4_01125_TIC_SP,G4_01125_TIC_PV,G4_01126_TIC_SP,G4_01126_TIC_PV,G4_01127_TIC_SP,G4_01127_TIC_PV,G4_01128_TIC_SP,G4_01128_TIC_PV,G4_01129_TIC_SP,G4_01129_TIC_PV,G4_01130_TIC_SP,G4_01130_TIC_PV,G4_01131_32_TIC_SP,G4_01131_32_TIC_PV,G4_01133_34_TIC_SP,G4_01133_34_TIC_PV,B1_055_T01,B2_055_T01,B1_021_Z01,B2_021_Z01,B1_026_P01,B2_026_P01,B2_072M03_Z01,B1_072M03_Z01,B1_026_T01,B1_021_F01.1,B1_055_T01.1,B1_021_Z01.1,B2_026_T01,B2_021_F01,B2_055_T01.1,B1_021_Z01.2,B0_007_F01,B3_004_F01,G3_002_F01,G3_00702M01_S01,G5_020_P01,Total_InduratingFeed,G5_022M02_Z01,G5_042M02_Z01,G5_036M02_Z01,G5_037M02_Z01,G5_002M02_Z01,G5_012M02_Z01,description
2025-12-22 01:30:00+03:30,230.1851898919102,0,0.0618904937261415,0.0270240574313762,98.6714249382602,0.0,0,0,155.72715657093025,0.0352689402046458,240.2627292634565,0,0,0,0,0,0,0,0,276404.1539731642,366275.7345396807,126476.8815912927,81907.91585560243,582119.1934421001,332086.2383412589,402233.2596140552,366952.2140728693,336816.45608579286,72322.5142732257,18882.88156811023,-1.3424036626116094,-1.2582000576791377,-0.972760973477004,40.89559648891371,-3.6829300125420175,534.3814165199632,167.03719796455076,124.64934779314387,880.0,907.5775576183518,960.0,874.9240129893055,1000.0,920.2673577699612,1000.0,976.8026901836396,1000.0,1003.2005573286424,1000.0,995.8411155553908,1000.0,990.072249481802,1050.0,1074.7177099913836,1150.0,1158.2951505974831,1200.0,1189.9183695511554,1250.0,1241.4111447166292,1300.0,1303.7408563210288,1300.0,1327.7490912033252,1300.0,1300.4483056336164,1300.0,1295.4498189297026,1300.0,1324.4030456092846,1300.0,1288.7457674481657,1300.0,1294.772105303611,1300.0,1276.6472203544895,1300.0,1301.1614599748766,1280.0,1268.3565622556546,96.2716086041843,94.70315688345816,34.41456280263682,34.30101117442839,-1.430215109716456,-1.5784828774396358,50.47989654541016,54.44676875354247,341.6963540270478,230.1851898919102,96.2716086041843,34.41456280263682,354.47091479803737,206.20278930664065,94.70315688345816,34.41456280263682,4.409204077906466,193.44715601055344,1011.717958762614,4.897063310284944,-43.44105482084194,905.4304406053612,76.49258746591786,51.72685475373224,85.50850677490234,82.06345919627587,54.39783940330005,65.34365578273194,
2025-12-22 03:30:00+03:30,205.97582546443903,0,0.0133037081443031,0.0092415138400131,99.59061343489904,0.0,0,0,124.44741812860036,4.0967529110528,186.65557402511396,0,0,0,0,0,0,0,0,276408.4731879493,366280.4029619482,126483.56476286158,81914.45461508514,582128.8488819307,332091.49965485465,402240.94524302543,366958.2261127511,336822.00662518607,72323.95278300029,18884.32555680243,-1.091194560126845,-1.0650963328658096,-0.8429516749965966,41.02302975738198,-4.14073836715449,541.2065224704658,161.21169942870026,128.30799674038167,880.0,916.0041635737972,960.0,888.7713308103442,1000.0,936.318996392154,1000.0,987.6320360233296,1000.0,1010.3126869516568,1000.0,997.8978414410244,1000.0,982.9491390199232,1050.0,1046.214456806595,1150.0,1146.8436718689209,1200.0,1191.936379403945,1250.0,1243.9339245886918,1300.0,1296.2370220740752,1300.0,1319.089371401648,1300.0,1300.6318798767334,1300.0,1293.833886682843,1300.0,1330.4803176362575,1300.0,1295.7940428432105,1300.0,1304.4235603980633,1300.0,1282.403243424527,1300.0,1310.4343602041652,1280.0,1277.4828551434186,99.28506075791412,101.28689837055587,30.834201123485727,22.794743661113905,-1.4293462802385477,-1.6397007497203555,50.45151149048212,49.274416021971575,312.2189308605012,205.97582546443903,99.28506075791412,30.834201123485727,298.04570994137055,149.0560610276587,101.28689837055587,30.834201123485727,1780.1073872781208,6.718269290763735,949.4893333775252,4.776517769458027,-42.81786825383632,857.3744096055693,79.10833266746059,63.06006109510639,85.54306249394517,84.49683380126953,54.88988976867866,74.5572933787922,
2025-12-22 05:30:00+03:30,189.6821776727987,0,0.0104355960860098,0.0279481893562402,101.57211573180398,0.0,0,0,126.43358340874838,0.1492349424138793,168.66509205465084,0,0,0,0,0,0,0,0,276414.4830522887,366286.9308991864,126490.22907337223,81920.977602193,582138.3519672354,332096.73337692086,402248.6654607775,366964.2638946106,336827.57472777803,72325.40905501958,18885.71955543827,-1.1537355902366957,-1.133727540080154,-0.9524884016966676,40.62026746807248,-4.490683640608352,531.7626443414098,158.15844514277404,126.60281477049762,880.0,925.1672365676652,960.0,895.9914302219896,1000.0,942.040632810568,1000.0,993.5546795008804,1000.0,1018.1577754273926,1000.0,1006.4308318433611,1000.0,996.4085140115036,1050.0,1054.7018747270645,1150.0,1154.974029779124,1200.0,1195.194038437515,1250.0,1248.9898807127283,1300.0,1306.8353136604612,1300.0,1330.246829608987,1300.0,1306.0229800032723,1300.0,1300.7050142526227,1300.0,1337.573182878525,1300.0,1306.0623330848944,1300.0,1313.066223014596,1300.0,1290.9529691699531,1300.0,1316.059183374247,1280.0,1283.2719400446583,93.80157058809706,94.5568652488762,28.47741119879367,22.65077596191617,-1.3631794000478408,-1.6102983440078449,49.12302104451695,49.28722463810176,284.42489446209254,189.6821776727987,93.80157058809706,28.47741119879367,274.1388998384179,148.05142211914062,94.5568652488762,28.47741119879367,4.784706256207777,216.97212313205196,955.0034271432164,4.801983759419338,-45.153239605540136,836.2610980003119,79.13384080417651,56.50771425853187,85.52506168338346,84.48654633854844,55.57383424919376,74.55122743966865,
2025-12-22 07:30:00+03:30,286.5812072753906,0,0.0483997063044735,0.0018480019757915,99.32990702902563,0.0106813153252005,0,0,146.34678340080356,17.565490100381314,175.5096495387437,0,0,0,0,0,0,0,0,276420.4140605424,366293.2681573506,126496.8608505687,81927.47141145251,582147.94954229,332102.00251889665,402256.3052868206,366970.279080576,336833.071166974,72326.84734976706,18887.16045238603,-1.3093956631762098,-1.210838960673124,-0.943485031615096,40.92268062794109,-3.5041968197438025,536.672299659824,156.26973228987913,126.06907921370724,880.0,916.3242126001612,960.0,888.5944633700029,1000.0,935.3417022128244,1000.0,986.067335789781,1000.0,1006.2994995267228,1000.0,994.0310705914452,1000.0,987.1281062042654,1050.0,1050.580026162723,1150.0,1158.334102030506,1200.0,1206.60158572698,1250.0,1254.635803697655,1300.0,1296.5999330794566,1300.0,1326.3565362980255,1300.0,1298.2552989345184,1300.0,1293.6248810100508,1300.0,1332.5637493384504,1300.0,1291.9721836013678,1300.0,1304.266868930105,1300.0,1284.250999783107,1300.0,1314.1661609159196,1280.0,1277.155355936072,90.922888371662,92.97956399784272,46.25900172734264,35.440485335063016,-1.4245836202295266,-1.407327582136782,50.46792917118256,52.37659454345703,403.5936801533376,286.5812072753906,90.922888371662,46.25900172734264,359.9047772315066,210.03080308769543,92.97956399784272,46.25900172734264,46633.86880129583,358.611300167045,972.1313300701784,4.826790137081428,-43.35316380133624,893.7174751872949,79.13047342167084,56.29268436641824,85.52100490131991,84.50930316835039,56.997680919664205,72.1077925695401,
2025-12-22 09:30:00+03:30,189.72504146337917,0,0.0454925376779901,0.0128714217474882,99.28460292187351,0.0097472864211513,0,0,38.661609198108685,0.0373387156516252,9.1558695689423,0,0,0,0,0,0,0,0,276426.4743036242,366299.7827994477,126503.4745858365,81933.9622050074,582157.4073045944,332107.350164226,402263.9416484591,366976.2803795096,336838.5949390131,72328.28635965838,18888.58619590792,-1.22486866142623,-1.1071718350101662,-0.7966921018697288,40.517881444120704,-4.445382601814464,559.2255982427366,188.22499926595992,131.82994035564806,880.0,916.8846044369463,960.0,898.7172042352903,1000.0,938.6713282113252,1000.0,979.6868337965932,1000.0,997.8454349283552,1000.0,979.838065104928,1000.0,977.2620181486684,1050.0,1051.3568950496738,1150.0,1158.9328038321298,1200.0,1187.2194791816694,1244.1885624616668,1202.034474918055,1281.467401315704,1249.6824232175222,1284.3754536448328,1256.6940468210987,1281.970024949066,1274.867612348144,1285.118808866667,1244.17241437118,1282.4206350064746,1305.3127327167315,1285.5694000011863,1275.5576149922715,1282.6971524901658,1276.813178217434,1286.0187058494764,1249.7536611900923,1286.4688926532651,1248.01762921493,1271.2787669785323,1225.354500496882,93.76556164991928,97.9636409261998,29.21545938805156,22.464164780502077,-1.523923396030909,-1.4018979119578052,52.21484756469727,48.80016222859896,291.05625880435264,189.72504146337917,93.76556164991928,29.21545938805156,261.23838671623884,145.18735261190108,97.9636409261998,29.21545938805156,4.523060400570139,50.78843859778493,747.7607731075192,3.3467096907383795,-28.910320779398937,581.8004518650943,51.441020375796704,57.24285672212434,66.80705261230469,64.93732315178781,43.09627439570679,55.764017882497264,
2025-12-22 11:30:00+03:30,212.99162656650387,0,0.0553208126031604,0.0313177965139483,198.6557505364424,0.0091062805400795,0,0,152.01681731184289,0.059182485000098,180.19168529025535,0,0,0,0,0,0,0,0,276432.5753851304,366306.4489539609,126510.13485667692,81940.48795329656,582166.609964538,332112.6172454984,402271.29770985583,366982.3309532092,336843.7803339953,72329.65813411998,18890.017426553317,-1.2837142646189932,-1.3094148495680498,-1.0504986407514658,38.85906570913598,-3.3234446110196765,531.7335649443519,160.0467216087334,124.88318935010057,880.0,931.2911144853824,960.0,916.203685065978,1000.0,950.086998593166,1000.0,994.3719250322574,1000.0,1012.876886314856,1000.0,1007.3447071219656,1000.0,998.226985753876,1050.0,1057.1348580466822,1150.0,1156.4830237486974,1200.0,1193.322913960382,1250.0,1249.274021358011,1300.0,1302.178918653187,1300.0,1323.4583856665483,1300.0,1300.9968309183876,1300.0,1300.3563160758033,1300.0,1324.852584718176,1300.0,1290.44537591967,1300.0,1298.760459088842,1300.0,1275.8070313301423,1300.0,1306.2871260042436,1280.0,1278.73790236447,95.11962535136703,97.41545354941564,32.25109816398736,29.858943327109955,-1.243662133754242,-1.5531073934856945,52.23251347324028,45.81681826893768,312.63899784217705,212.99162656650387,95.11962535136703,32.25109816398736,325.5048331819786,186.33773807594991,97.41545354941564,32.25109816398736,1425.5614665607786,360.9787572324384,960.6295485102512,4.792919338679841,-41.19748872950886,862.5085128088654,69.19134405993725,44.70317605585009,80.76753234863281,77.24922921807683,54.340805700274174,70.64910882345276,
2025-12-22 13:30:00+03:30,180.56465393675947,0,0.0054932478815317,0.0546030612090929,242.1120532841083,0.0,0,0,136.06581694384462,0.0,162.277312219059,0,0,0,0,0,0,0,0,276438.5906366344,366312.9630139715,126516.7717958028,81946.98362538076,582175.6232833202,332117.67891952954,402278.6946485412,366988.2367537845,336849.1484299365,72330.99443617073,18891.430647716177,-1.0833995044094895,-1.0999189883466267,-0.8137249996438121,40.46979615031474,-3.362499090015425,523.8438272671957,161.18774121038706,129.53628063022705,880.0,945.2166597269868,960.0,924.4082304685932,1000.0,950.3490144444312,1000.0,981.905144878312,1000.0,998.4688685285116,1000.0,997.3425082801784,1000.0,994.6345726412172,1050.0,1057.8281955672803,1150.0,1158.3922231268014,1200.0,1199.3976869941532,1250.0,1241.687832594772,1300.0,1292.66654463264,1300.0,1309.9838014281545,1300.0,1295.7857879848582,1300.0,1291.300666938845,1300.0,1326.5003905951978,1300.0,1282.3171554998662,1300.0,1294.5342073435015,1300.0,1278.5702122112873,1300.0,1303.9078458706813,1280.0,1272.697136390896,96.9375942768534,101.26842545024448,27.60001433076889,4.087470079858205,-1.3657381677333025,-1.6578009519502093,38.0701431859645,44.71116383867509,286.7622343177679,180.56465393675947,96.9375942768534,27.60001433076889,132.3276229570275,0.0,101.26842545024448,27.60001433076889,668.1864248295109,414.8867478398833,1004.1938149262004,4.807434024443952,-42.88199177982101,867.0452528387085,69.1733858045701,44.93038306166612,83.59197235107422,80.2746864141414,56.74230963964626,74.49542577024732,
2025-12-22 15:30:00+03:30,184.49644025551467,0,0.0431781793848033,0.0317212945267338,298.1884399726987,0.0,0,0,56.106062156293774,0.0221538012232524,340.5041631090132,0,0,0,0,0,0,0,0,276444.53661920055,366319.3622220089,126517.0859375,81947.296875,582184.9305905594,332122.8184692164,402286.0573810385,366994.0870045327,336854.6087048275,72332.38721056905,18892.82369533229,-0.75168182188645,-0.9177125928861763,-0.7436277604065253,40.97874351643259,-3.838799435718101,534.17654105369,164.436985437869,131.95483675906087,880.0,932.4713822109624,960.0,927.3633376928703,1000.0,946.9439621614292,1000.0,975.2876282457744,1000.0,985.408321412746,1000.0,994.8725510286168,1000.0,985.4506683591752,1000.0,1015.1517868684604,1117.6839139733706,1054.5948033512484,1153.9713163621063,1085.5387276988477,1190.3689732353498,1131.0592363923788,1250.0,1235.0041377497755,1263.4241212975742,1228.0380385164171,1300.0,1291.3934649080038,1300.0,1278.698221054472,1300.0,1316.7769301179796,1300.0,1279.354421570897,1300.0,1298.8039348755683,1300.0,1276.4565330156177,1300.0,1305.019348707747,1280.0,1271.788340607059,96.97364902470768,38.03869804781391,28.41229820251465,4.135308193498975,-1.409887810703367,-0.9280824672896416,20.455708234565893,49.32478713989258,286.2253596065566,184.49644025551467,96.97364902470768,28.41229820251465,36.80490296121829,0.0,38.03869804781391,28.41229820251465,4.0054931640625,324.3253104193136,1007.8136994261296,4.792324895655682,-43.52171325031668,879.8027426023036,73.02840416255995,54.95987266740372,83.59662603708801,77.1890369677702,55.49762181053467,72.66454430485284,
2025-12-22 17:30:00+03:30,239.95377391668688,0,0.0417475805563816,0.0215343063743204,305.10646056856785,0.0106813153252005,0,0,98.1534801002494,13.77669278428249,277.1929346674986,0,0,0,0,0,0,0,0,276450.26645952434,366325.5755147733,126517.0859375,81947.296875,582194.275223106,332127.91734969465,402293.6066604807,366999.9839357159,336860.1373795621,72333.81561303207,18894.237373516426,-1.1228982866385226,-1.1782749405397983,-0.8675169582580894,39.56387174337506,-3.663143305557464,545.7858205694204,154.7650206269764,132.6145772713285,880.0,954.4093597387345,960.0,947.5644776575812,1000.0,965.276838828184,1000.0,994.5397096450264,1000.0,1002.9424238502032,1000.0,1009.8999682532748,1000.0,1003.763341340455,1000.0,1029.3657463781,1233.4330650219724,1062.8357159806844,1246.6004495431678,1100.5401886427278,1259.8184147318916,1192.3628556575372,1250.0,1280.5077784906034,1286.5739366289738,1304.56915506958,1300.0,1305.096689856149,1300.0,1303.9082076550314,1300.0,1333.0647247755403,1300.0,1299.77925546472,1300.0,1303.657192670903,1300.0,1280.862644449717,1300.0,1304.055661701364,1280.0,1280.0097068273924,95.69053890211562,26.325666896648823,36.22245223090128,4.098286290170578,-1.3173696158084809,-0.7038250884171066,20.43121695117777,49.30966803939499,361.4424922578224,239.95377391668688,95.69053890211562,36.22245223090128,29.467958980343887,0.0,26.325666896648823,36.22245223090128,4.160468354507214,281.77903937265165,995.9415735369328,4.789647800609091,-47.31546306697712,897.5897121657506,74.12980379224786,53.99687848858761,80.99336242675781,78.3917007446289,57.97431420332584,77.66191101602413,
2025-12-22 19:30:00+03:30,191.66982861547245,0,0.0228255216812818,0.0101203386055957,302.98877411400576,0.0103849051713918,0,0,0.0,0.0694285482168197,146.50945858161856,0,0,0,0,0,0,0,0,276456.0490432254,366331.8199996326,126517.0859375,81947.296875,582203.8463226376,332133.1879460413,402301.18666702346,367005.90360378247,336865.65137387806,72335.31835073938,18895.63732409969,-1.0033500823046833,-1.322994692579627,-0.9676789643099006,40.11349388320284,-3.783354363963525,548.7651176177842,161.0178097902767,133.58009224121184,930.0,968.0065606055676,1000.0,965.8175738659182,1000.0,987.4615278115876,1000.0,1011.7207765091296,1050.0,1063.4699812738384,1100.0,1098.4626483258226,1150.0,1152.1244151404026,1250.0,1248.1839790578292,1300.0,1292.7994636771582,1300.0,1301.621004885278,1300.0,1282.1083018591526,1250.0,1264.62622993361,1300.0,1279.5872050009336,1300.0,1299.6217590778974,1300.0,1297.5593942339392,1300.0,1337.73588362831,1300.0,1295.2111428420528,1300.0,1312.2525889685276,1300.0,1290.7595819474857,1300.0,1316.850231664638,1280.0,1284.2397538796677,93.04132187872985,23.56134846044347,38.996178428984365,3.944367775793309,-1.205523582441863,-0.1216267646733755,11.29167652130127,50.37027031488541,371.0484912532064,191.66982861547245,93.04132187872985,38.996178428984365,30.41662988780533,0.0,23.56134846044347,38.996178428984365,4.496853063846984,307.2192687588638,959.2403146969988,4.794375833347471,-41.72777032922292,849.7874430361308,75.4146763238575,78.7377887629229,80.99336242675781,80.1251220703125,56.63293130423114,89.25465592940024,
